artist,song_title,year,artist_genre,youtube_link,imvdb_url
Roxette,Sleeping In My Car,1994,Desconhecido,https://www.youtube.com/watch?v=S5fn1DfqPfA,https://imvdb.com/video/roxette/sleeping-in-my-car
The Lemonheads,The Great Big No,1994,Desconhecido,https://www.youtube.com/watch?v=6MaRsIwDz3U,https://imvdb.com/video/the-lemonheads/the-great-big-no
Matt Bianco,Our Love,1994,Desconhecido,,https://imvdb.com/video/matt-bianco/our-love
Alice Cooper,Lost In America,1994,Desconhecido,,https://imvdb.com/video/alice-cooper/lost-in-america
R.E.M.,Strange Currencies,1994,Desconhecido,https://www.youtube.com/watch?v=RExRs_5jM9c,https://imvdb.com/video/r.e.m./strange-currencies
Indochine,Un jour dans notre vie,1994,Desconhecido,https://www.youtube.com/watch?v=oiBuYVa6b6k,https://imvdb.com/video/indochine/un-jour-dans-notre-vie
Buckshot LeFonque,Breakfast @ Denny's,1994,Desconhecido,https://www.youtube.com/watch?v=SMrKGkKdKYU,https://imvdb.com/video/buckshot-lefonque/breakfast-dennys
Black Box,Not Anyone,1994,Desconhecido,https://www.youtube.com/watch?v=-mro2czC7Lk,https://imvdb.com/video/black-box/not-anyone
Helmet (2),Milquetoast,1994,Desconhecido,,https://imvdb.com/video/helmet-2/milquetoast
Our Lady Peace,Starseed,1994,Desconhecido,,https://imvdb.com/video/our-lady-peace/starseed
Iggy Pop,Beside You,1994,Desconhecido,https://www.youtube.com/watch?v=RrpS_H2FZC0,https://imvdb.com/video/iggy-pop/beside-you
Supergrass,Mansize Rooster,1994,Desconhecido,https://www.youtube.com/watch?v=dHlLcVHncDw,https://imvdb.com/video/supergrass/mansize-rooster
Oasis,Live Forever,1994,Desconhecido,https://www.youtube.com/watch?v=p29MG7wn4F8,https://imvdb.com/video/oasis/live-forever
Xscape,Love On My Mind,1994,Desconhecido,,https://imvdb.com/video/xscape/love-on-my-mind
Wild Colonials,Heaven & Hell,1994,Desconhecido,https://www.youtube.com/watch?v=i6ctUO5y6lw,https://imvdb.com/video/wild-colonials/heaven-hell
Collin Raye,That's My Story,1994,Desconhecido,https://www.youtube.com/watch?v=BewKY_BpVXg,https://imvdb.com/video/collin-raye/thats-my-story
David Byrne,Angels,1994,Desconhecido,https://www.youtube.com/watch?v=TE-wx_jpQUc,https://imvdb.com/video/david-byrne-1/angels
Joe Diffie,Pickup Man,1994,Desconhecido,https://www.youtube.com/watch?v=9I51JXpcLwk,https://imvdb.com/video/joe-diffie/pickup-man
Body Count,Born Dead,1994,Desconhecido,https://www.youtube.com/watch?v=X-kwNNLmhd8,https://imvdb.com/video/body-count/born-dead
Soundgarden,Black Hole Sun,1994,Desconhecido,https://www.youtube.com/watch?v=3mbBbFH9fAg,https://imvdb.com/video/soundgarden/black-hole-sun
The Notorious B.I.G.,Juicy,1994,Desconhecido,https://www.youtube.com/watch?v=_JZom_gVfuw,https://imvdb.com/video/the-notorious-big/juicy
Nas,The World Is Yours,1994,Desconhecido,https://www.youtube.com/watch?v=e5PnuIRnJW8,https://imvdb.com/video/nas/the-world-is-yours
Manic Street Preachers,Faster,1994,Desconhecido,https://www.youtube.com/watch?v=gnfzuEjX6eQ,https://imvdb.com/video/manic-street-preachers/faster
Shaquille O'Neal,Shoot Pass Slam,1994,Desconhecido,https://www.youtube.com/watch?v=SBXvNGdjM8E,https://imvdb.com/video/shaquille-oneal/shoot-pass-slam
Brian McKnight,Crazy Love,1994,Desconhecido,https://www.youtube.com/watch?v=QW4kSyY3le0,https://imvdb.com/video/brian-mcknight/crazy-love
